2021-04-20 09:16:35,142 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '南京医药股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-20 09:17:58,656 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-20 09:19:36,267 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 180}
2021-04-20 09:20:09,475 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '09880188001176122759', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 180}
2021-04-20 09:20:29,324 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '09880188001176122759', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['SY0068']], 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 180}
2021-04-20 09:20:46,169 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '北京爱奇艺科技有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-20 09:20:59,568 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '东阳留白影视文化有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-20 09:21:04,067 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 10, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '东阳留白影视文化有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-20 09:21:06,117 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '东阳留白影视文化有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-20 09:22:19,385 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '09880188001176122759', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 180}
2021-04-20 09:22:46,989 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '09880188001176122759', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['安徽']], 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 180}
