2021-05-03 21:27:31,667 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-03 21:35:19,601 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-03 21:36:08,744 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-03 22:06:44,161 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-04 00:00:03,549 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-04 00:00:07,502 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '山东滨农科技有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-04 00:00:08,608 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '杭州杭富轨道交通有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-04 00:00:09,320 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '河北凯意石化有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-04 07:03:14,257 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '北京奇艺世纪科技有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 54}
2021-05-04 10:03:49,620 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
2021-05-04 19:48:40,155 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileConfidenceEnd': '', 'fileConfidenceStart': '', 'fileId': '', 'guarantorName': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'orgNameList': '', 'pageSize': 15, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 888}
